County,heart,medcare_full_cov_amt,Population,CrimeRatePer100K,state,Max AQI
2010_il_winnebago,169.74166666666665,47184.0,7892,4498.226,il,117
2011_il_winnebago,155.58333333333334,48461.0,153331,224.35123,il,115
2012_il_winnebago,159.375,49979.0,152293,229.82014,il,115
2013_il_winnebago,159.08333333333334,51097.0,150209,233.67442,il,84
2014_il_winnebago,151.225,51843.0,149586,237.32167,il,105
2010_in_allen,168.575,49177.0,253691,279.868,in,121
2011_in_allen,200.90833333333333,50850.0,254987,255.30713,in,122
2012_in_allen,206.81666666666663,52690.0,256625,251.3395,in,179
2013_in_allen,205.55833333333337,54303.0,15575,2638.8442,in,97
2014_in_allen,193.99166666666667,55930.0,257172,244.97223,in,147
2013_in_bartholomew,145.7111111111111,13466.0,45874,837.07544,in,93
2014_in_bartholomew,140.9888888888889,13748.0,33763,1048.485,in,108
2010_in_boone,113.5,7272.0,14160,1574.8589,in,122
2011_in_boone,138.3,7508.0,2882,7841.7764,in,159
2012_in_boone,175.6125,7775.0,2920,2534.2466,in,164
2013_in_boone,207.6375,8100.0,24433,331.51886,in,112
2014_in_boone,218.2625,8328.0,25574,492.6879,in,108
2010_in_clark,134.97777777777776,17560.0,7585,8727.752,in,147
2011_in_clark,147.47777777777776,18206.0,45183,1936.5691,in,161
2012_in_clark,170.96666666666667,18905.0,45640,1921.56,in,164
2013_in_clark,188.6888888888889,19472.0,45846,1539.9381,in,93
2014_in_clark,205.9888888888889,19992.0,21858,3893.3113,in,122
2010_in_delaware,246.26999999999998,20422.0,70085,619.24805,in,108
2011_in_delaware,306.33000000000004,20905.0,70443,623.19885,in,112
2012_in_delaware,323.3,21504.0,47728,649.5139,in,136
2013_in_delaware,323.15999999999997,21919.0,70059,626.6147,in,87
2014_in_delaware,328.98,22144.0,47178,962.313,in,130
2010_in_elkhart,215.27272727272728,26578.0,108729,696.2264,in,110
2011_in_elkhart,266.7,27421.0,6682,6465.1304,in,147
2012_in_elkhart,274.6181818181818,28342.0,51481,1182.9607,in,206
2013_in_elkhart,258.99090909090904,29131.0,32195,1851.2191,in,126
2014_in_elkhart,224.52727272727273,29920.0,51366,1185.6091,in,126
2010_in_floyd,218.85555555555555,11619.0,36372,1330.6938,in,174
2011_in_floyd,237.1222222222222,12031.0,35510,1388.3413,in,174
2012_in_floyd,269.0,12364.0,36685,1172.1411,in,197
2013_in_floyd,267.5444444444445,12633.0,36132,1037.8612,in,101
2014_in_floyd,288.9777777777778,13085.0,36622,1037.6277,in,119
2010_in_hamilton,71.01818181818182,25317.0,79191,950.86566,in,122
2011_in_hamilton,81.17777777777778,26952.0,30222,2498.18,in,150
2012_in_hamilton,94.91818181818181,28870.0,81819,881.21344,in,126
2013_in_hamilton,98.0,30783.0,83358,598.6228,in,84
2014_in_hamilton,105.60000000000001,32620.0,87555,637.31366,in,129
2010_in_hancock,124.9125,10373.0,20602,9.707795,in,105
2011_in_hancock,142.15,10751.0,5195,1636.1887,in,108
2012_in_hancock,149.4125,11313.0,5227,1645.3031,in,105
2013_in_hancock,159.25,11863.0,21175,1416.765,in,77
2014_in_hancock,164.9625,12258.0,21381,1772.6019,in,67
2010_in_hendricks,138.1,16784.0,21285,2870.5662,in,100
2011_in_hendricks,151.3625,17519.0,27772,2225.263,in,105
2012_in_hendricks,182.5875,18538.0,9187,6694.2417,in,143
2013_in_hendricks,211.95,19304.0,22908,2841.802,in,74
2014_in_hendricks,235.325,20249.0,14009,5160.968,in,77
2010_in_henry,141.20000000000002,9623.0,31348,338.1396,in,107
2011_in_henry,162.07500000000002,9849.0,31508,469.722,in,92
2012_in_henry,179.025,10109.0,31324,913.0379,in,73
2013_in_henry,178.0875,10318.0,17710,1405.9852,in,85
2014_in_henry,198.4375,10491.0,31382,586.32336,in,119
2010_in_howard,164.7111111111111,16468.0,45468,950.11884,in,113
2011_in_howard,219.16666666666666,16960.0,45700,1063.4573,in,83
2012_in_howard,272.17777777777775,17511.0,45636,1043.0363,in,58
2014_in_howard,225.33333333333334,18176.0,56904,803.107,in,82
2011_in_huntington,195.925,6899.0,19834,1043.6625,in,115
2012_in_huntington,212.6875,7040.0,19842,1128.9185,in,126
2013_in_huntington,226.45000000000002,7207.0,17271,909.03827,in,77
2010_in_jackson,172.175,7479.0,17503,2233.9028,in,105
2011_in_jackson,190.225,7700.0,22038,2051.003,in,100
2012_in_jackson,211.3875,7906.0,21766,2044.473,in,119
2013_in_jackson,199.8,8056.0,18655,2530.1528,in,105
2014_in_jackson,190.4625,8166.0,19050,1905.5118,in,93
2010_in_johnson,108.1875,19287.0,4013,18365.312,in,105
2011_in_johnson,149.2,20140.0,51608,1305.999,in,100
2012_in_johnson,174.6285714285714,20868.0,51746,1437.7922,in,140
2013_in_johnson,212.9625,21751.0,24034,3382.7078,in,93
2014_in_johnson,206.6625,22693.0,50659,1829.8822,in,71
2010_in_knox,203.4375,7176.0,17102,2023.1553,in,112
2011_in_knox,250.375,7245.0,18517,1965.7612,in,154
2012_in_knox,234.22857142857143,7287.0,18507,1442.6974,in,136
2013_in_knox,281.875,7406.0,17060,1318.8746,in,90
2014_in_knox,304.7125,7498.0,17007,82.319046,in,90
2010_in_lake,196.66153846153844,75351.0,27317,9913.241,in,133
2011_in_lake,205.53846153846155,76602.0,9323,29475.49,in,156
2012_in_lake,212.56153846153848,78267.0,12599,21112.787,in,179
2013_in_lake,216.9923076923077,79871.0,16671,14438.246,in,114
2014_in_lake,209.10000000000002,81334.0,78526,2791.4321,in,155
2010_in_madison,155.5818181818182,24956.0,56129,1199.0237,in,100
2011_in_madison,174.79999999999998,25361.0,8658,7449.7573,in,112
2012_in_madison,195.9181818181818,26000.0,2550,24117.646,in,151
2013_in_madison,208.25454545454548,26600.0,2508,30263.158,in,118
2014_in_madison,232.73636363636362,26996.0,5075,13241.379,in,141
2010_in_marion,137.71428571428572,112558.0,14192,3607.666,in,143
2011_in_marion,161.19333333333333,115396.0,833024,85.951904,in,141
2012_in_marion,174.81333333333333,118851.0,838650,77.505516,in,169
2013_in_marion,181.48,121994.0,11967,4896.7993,in,124
2014_in_marion,189.21333333333334,125000.0,14536,4120.8037,in,191
2010_in_monroe,98.09,15544.0,80405,657.9193,in,89
2011_in_monroe,95.91,15964.0,80816,636.0127,in,99
2012_in_monroe,104.72,16496.0,81636,625.94934,in,86
2013_in_monroe,97.69,16990.0,82415,650.36707,in,75
2014_in_monroe,101.49,17555.0,53333,973.13104,in,157
2014_in_montgomery,210.675,7209.0,16017,1092.5891,in,77
2010_in_morgan,164.625,10751.0,11828,2967.5347,in,87
2011_in_morgan,202.3857142857143,11203.0,9374,3648.3892,in,112
2012_in_morgan,203.125,11772.0,11960,2709.0303,in,133
2013_in_morgan,221.625,12252.0,11823,2698.1306,in,93
2014_in_morgan,247.53750000000002,12644.0,11854,1484.731,in,97
2010_in_porter,194.56,23285.0,3724,19602.578,in,133
2011_in_porter,211.55,24166.0,37016,1982.9264,in,156
2012_in_porter,217.42,25094.0,71855,938.0002,in,206
2013_in_porter,211.3777777777778,26003.0,4883,14376.408,in,186
2014_in_porter,187.8,26785.0,72576,720.6239,in,115
2010_in_posey,90.3625,4338.0,6687,508.44922,in,105
2011_in_posey,108.2,4399.0,6721,1993.751,in,129
2012_in_posey,121.1,4525.0,6660,1501.5016,in,108
2013_in_posey,115.6625,4652.0,6586,1245.0653,in,100
2014_in_posey,136.9,4736.0,6566,2314.9558,in,100
2010_in_shelby,158.6375,7121.0,25149,719.7105,in,93
2011_in_shelby,194.05,7258.0,25278,731.8617,in,143
2012_in_shelby,200.475,7485.0,25171,754.8369,in,159
2013_in_shelby,190.0875,7712.0,25363,1068.4856,in,97
2014_in_shelby,163.0125,7917.0,25478,1271.6854,in,100
2010_in_spencer,195.28000000000003,3553.0,20952,4.772814,in,86
2011_in_spencer,208.8,3699.0,21059,128.21123,in,92
2012_in_spencer,242.71999999999997,3797.0,21027,4.75579,in,71
2013_in_spencer,230.06,3878.0,20875,4.790419,in,74
2014_in_spencer,230.1,3951.0,20975,4.7675805,in,95
2010_in_st. joseph,236.82500000000002,39711.0,112841,841.8926,in,128
2011_in_st. joseph,274.875,40593.0,48498,1936.1622,in,161
2012_in_st. joseph,274.4583333333333,41445.0,2149,38715.68,in,213
2013_in_st. joseph,273.2416666666667,42328.0,2284,39229.42,in,154
2014_in_st. joseph,273.5833333333333,43172.0,100853,832.8954,in,129
2010_in_tippecanoe,91.68181818181819,18000.0,29596,2439.5188,in,120
2011_in_tippecanoe,94.87272727272726,18668.0,67483,1126.2096,in,105
2012_in_tippecanoe,98.32727272727271,19371.0,30015,2472.0972,in,104
2013_in_tippecanoe,98.82727272727271,20014.0,30687,2447.2903,in,99
2014_in_tippecanoe,104.63636363636364,20661.0,78014,940.8568,in,128
2010_in_vanderburgh,162.24,30983.0,62274,1014.86975,in,122
2011_in_vanderburgh,207.35999999999999,31513.0,118029,297.38455,in,150
2012_in_vanderburgh,243.88000000000002,31941.0,118194,294.43118,in,161
2013_in_vanderburgh,225.75,32605.0,120284,505.4704,in,108
2014_in_vanderburgh,227.45,33332.0,120372,526.70056,in,108
2010_in_vigo,200.32222222222222,17803.0,60785,511.63937,in,115
2011_in_vigo,233.92222222222225,18196.0,45057,1052.0009,in,127
2012_in_vigo,226.3,18579.0,61152,794.74097,in,136
2013_in_vigo,231.61111111111111,19002.0,45432,1019.1055,in,97
2014_in_vigo,206.0888888888889,19398.0,61085,702.30005,in,134
2010_in_wabash,184.4625,7105.0,10666,815.67596,in,105
2011_in_wabash,214.5375,7193.0,6143,48.836075,in,129
2012_in_wabash,220.375,7333.0,6087,722.852,in,169
2013_in_wabash,223.3625,7396.0,5987,1336.2285,in,105
2014_in_wabash,239.65714285714284,7497.0,15822,341.2969,in,108
2010_in_warrick,168.1125,8891.0,53443,656.7745,in,122
2011_in_warrick,184.325,9268.0,53716,679.49963,in,159
2012_in_warrick,197.83749999999998,9755.0,54138,692.67426,in,159
2013_in_warrick,172.325,10167.0,54632,604.04156,in,97
2014_in_warrick,166.05,10580.0,55199,586.96716,in,105
2010_ia_black hawk,306.27,21131.0,39260,1655.6292,ia,113
2011_ia_black hawk,333.46,21543.0,18771,3409.5146,ia,100
2012_ia_black hawk,313.24,22001.0,68919,925.72437,ia,98
2013_ia_black hawk,364.73,22474.0,68255,955.24133,ia,124
2014_ia_black hawk,367.76,22831.0,68358,971.3567,ia,117
2010_ia_cerro gordo,174.325,9172.0,28079,1139.6417,ia,64
2011_ia_cerro gordo,193.4625,9327.0,8338,5960.662,ia,62
2012_ia_cerro gordo,196.2375,9505.0,28052,1768.145,ia,66
2013_ia_cerro gordo,199.5875,9669.0,8317,5975.7124,ia,60
2014_ia_cerro gordo,238.9125,9823.0,7673,6568.487,ia,52
2010_ia_clinton,226.53750000000002,9529.0,26885,1510.1357,ia,125
2011_ia_clinton,219.475,9544.0,27026,1624.3618,ia,100
2012_ia_clinton,242.0,9656.0,26934,1425.7073,ia,126
2013_ia_clinton,212.28750000000002,9870.0,12440,2958.1995,ia,115
2014_ia_clinton,215.77499999999998,9988.0,12309,3087.1719,ia,124
2010_ia_johnson,168.14545454545453,11990.0,13374,5301.331,ia,112
2011_ia_johnson,196.56363636363633,12590.0,68217,1055.4554,ia,96
2012_ia_johnson,199.28181818181818,13116.0,13661,5519.362,ia,90
2013_ia_johnson,211.96363636363637,13658.0,70855,983.69916,ia,103
2014_ia_johnson,272.1818181818182,14279.0,20392,3261.0825,ia,108
2010_ia_lee,176.8375,7191.0,11051,3348.1133,ia,115
2011_ia_lee,187.2875,7327.0,11109,3663.696,ia,81
2012_ia_lee,189.0625,7477.0,10748,3963.5283,ia,81
2013_ia_lee,198.4125,7611.0,11012,3614.239,ia,88
2014_ia_lee,225.25,7702.0,13900,2906.4749,ia,97
2010_ia_linn,100.46363636363635,30705.0,4506,19307.59,ia,113
2011_ia_linn,112.73636363636363,31503.0,36640,2390.8296,ia,100
2012_ia_linn,112.74545454545455,32491.0,128401,668.2191,ia,122
2013_ia_linn,142.93,33444.0,128642,673.9634,ia,122
2014_ia_linn,177.28181818181818,34446.0,128901,654.76605,ia,112
2010_ia_muscatine,246.70000000000002,6727.0,22886,1472.516,ia,155
2011_ia_muscatine,268.8555555555556,6900.0,23006,1543.0757,ia,142
2012_ia_muscatine,281.20000000000005,7098.0,23013,1894.5813,ia,154
2013_ia_muscatine,274.8666666666667,7215.0,13464,2896.6133,ia,135
2014_ia_muscatine,297.8666666666667,7366.0,23057,1817.2356,ia,135
2010_ia_polk,163.475,52556.0,17278,10412.085,ia,116
2011_ia_polk,169.26666666666665,54379.0,14617,12759.116,ia,98
2012_ia_polk,162.78333333333333,56425.0,14830,12231.962,ia,100
2013_ia_polk,171.29166666666666,58386.0,15683,11445.514,ia,99
2014_ia_polk,187.91666666666666,60405.0,208250,853.30133,ia,93
2010_ia_pottawattamie,156.2,15629.0,62230,695.8059,ia,134
2011_ia_pottawattamie,168.17777777777778,15910.0,62556,856.83234,ia,93
2012_ia_pottawattamie,167.89999999999998,16279.0,27357,2079.9065,ia,98
2013_ia_pottawattamie,164.7111111111111,16672.0,27213,1973.3217,ia,86
2014_ia_pottawattamie,188.97777777777776,17095.0,27145,1993.0005,ia,111
2010_ia_scott,120.4818181818182,24795.0,5651,14404.531,ia,117
2011_ia_scott,126.36363636363636,25508.0,100207,768.40936,ia,105
2012_ia_scott,132.93636363636364,26207.0,33729,2508.2273,ia,134
2013_ia_scott,128.43636363636364,26941.0,34548,2460.345,ia,126
2014_ia_scott,142.0818181818182,27666.0,6126,14544.564,ia,111
2010_ia_story,137.42222222222222,9489.0,6798,6428.361,ia,90
2011_ia_story,127.8777777777778,9801.0,6834,6350.6,ia,87
2012_ia_story,128.36666666666667,10056.0,20458,2326.7183,ia,87
2013_ia_story,140.26666666666668,10317.0,3424,10134.346,ia,80
2014_ia_story,141.76666666666668,10619.0,20592,1646.2704,ia,90
2010_ia_warren,123.6,6497.0,14782,2611.284,ia,87
2011_ia_warren,130.075,6753.0,14859,2772.7305,ia,93
2012_ia_warren,128.8625,6985.0,18944,1921.4528,ia,108
2013_ia_warren,124.675,7231.0,3939,11170.348,ia,77
2014_ia_warren,147.1375,7540.0,15183,2891.3916,ia,100
2010_ia_woodbury,170.29090909090908,15416.0,82678,562.4229,ia,127
2011_ia_woodbury,189.0636363636364,15657.0,15347,2925.653,ia,77
2012_ia_woodbury,181.04545454545453,15941.0,83289,546.29065,ia,91
2013_ia_woodbury,174.10909090909092,16239.0,82676,584.2082,ia,121
2014_ia_woodbury,198.8909090909091,16525.0,82372,574.22424,ia,108
2010_ks_brown,158.25,2095.0,5029,3062.239,ks,77
2011_ks_brown,145.29999999999998,2114.0,5061,3714.6812,ks,99
2010_ks_ford,150.87777777777777,3455.0,27340,1371.6167,ks,49
2011_ks_ford,141.8777777777778,3444.0,27514,1297.5212,ks,63
2012_ks_ford,161.92222222222222,3480.0,28064,1329.1049,ks,94
2013_ks_ford,169.66666666666666,3549.0,5088,6839.6226,ks,54
2014_ks_ford,207.26666666666668,3611.0,28325,1285.0839,ks,69
2010_ks_johnson,96.10769230769232,61930.0,62209,1811.6349,ks,112
2011_ks_johnson,87.99285714285715,64595.0,3520,39545.457,ks,161
2012_ks_johnson,83.51428571428572,67609.0,63542,2217.431,ks,161
2013_ks_johnson,87.29230769230769,70501.0,64060,2140.1812,ks,87
2014_ks_johnson,84.59285714285714,73400.0,11341,9813.949,ks,84
2010_ks_leavenworth,90.72,9445.0,4996,10488.391,ks,143
2011_ks_leavenworth,92.5,9863.0,11337,4869.0127,ks,147
2012_ks_leavenworth,90.74,10209.0,20457,2683.678,ks,174
2013_ks_leavenworth,90.61,10638.0,11688,4440.4517,ks,112
2014_ks_leavenworth,93.78999999999999,10980.0,36018,1563.1074,ks,105
2010_ks_neosho,88.05,3268.0,6243,2162.4219,ks,47
2011_ks_neosho,93.0,3307.0,9177,1612.7275,ks,55
2012_ks_neosho,89.57499999999999,3349.0,6251,2751.5598,ks,59
2013_ks_neosho,96.7875,3397.0,9176,1819.9651,ks,58
2014_ks_neosho,89.39999999999999,3411.0,6016,1363.032,ks,116
2010_ks_riley,110.72,5507.0,71115,347.32477,ks,136
2011_ks_riley,99.21000000000001,5609.0,71567,352.1176,ks,129
2012_ks_riley,98.02000000000001,5747.0,73370,321.65735,ks,154
2013_ks_riley,108.74000000000001,5952.0,76853,308.38092,ks,71
2010_ks_sedgwick,120.02666666666667,65132.0,22158,6011.373,ks,122
2011_ks_sedgwick,109.44666666666666,66845.0,1921,70275.9,ks,150
2012_ks_sedgwick,117.92666666666668,68960.0,3455,39855.285,ks,156
2013_ks_sedgwick,133.97333333333333,71109.0,386486,357.32214,ks,115
2014_ks_sedgwick,143.36666666666667,73294.0,387493,331.87695,ks,150
2010_ks_shawnee,145.62142857142857,30349.0,46644,430.9236,ks,140
2011_ks_shawnee,149.27142857142857,31116.0,46940,411.16318,ks,147
2012_ks_shawnee,153.94285714285712,32023.0,47156,487.7428,ks,150
2013_ks_shawnee,178.07857142857142,32891.0,1149,18189.73,ks,93
2014_ks_shawnee,187.02142857142857,33723.0,47558,374.27982,ks,105
2010_ks_sumner,141.4125,4294.0,9399,2074.689,ks,122
2011_ks_sumner,138.6625,4340.0,9458,2220.3425,ks,143
2012_ks_sumner,154.18571428571428,4385.0,9312,2684.708,ks,156
2013_ks_sumner,164.81428571428572,4394.0,7945,3222.152,ks,112
2014_ks_sumner,144.8625,4479.0,495,57575.758,ks,138
2010_ks_wyandotte,136.5307692307692,20199.0,4340,6912.4424,ks,92
2011_ks_wyandotte,125.4076923076923,20569.0,4368,7028.388,ks,107
2012_ks_wyandotte,130.52307692307693,21038.0,31,1141935.5,ks,169
2013_ks_wyandotte,134.25384615384615,21403.0,7450,4093.9595,ks,100
2014_ks_wyandotte,136.09230769230768,21847.0,7518,4602.2876,ks,119
2010_ky_boone,195.32222222222222,13567.0,29951,1629.328,ky,136
2011_ky_boone,213.34444444444443,14268.0,89474,521.93933,ky,115
2012_ky_boone,245.67777777777778,15163.0,30765,1589.4685,ky,150
2013_ky_boone,250.68888888888887,15878.0,93348,524.91754,ky,101
2014_ky_boone,281.3222222222222,16533.0,94163,499.13446,ky,80
2010_ky_boyd,272.5,10811.0,1856,26724.139,ky,119
2011_ky_boyd,250.125,10989.0,26181,1860.1276,ky,129
2012_ky_boyd,227.1625,11155.0,26025,1667.6273,ky,143
2013_ky_boyd,233.28750000000002,11243.0,25784,1776.2953,ky,119
2014_ky_boyd,271.0,11210.0,21321,2054.3127,ky,115
2010_ky_bullitt,198.86666666666667,10789.0,8172,4968.184,ky,119
2011_ky_bullitt,176.48333333333335,11419.0,42255,1010.53125,ky,187
2012_ky_bullitt,172.4,11943.0,42517,1046.6401,ky,151
2013_ky_bullitt,178.15,12499.0,9465,4690.967,ky,105
2014_ky_bullitt,165.0142857142857,12926.0,40946,993.9921,ky,112
2010_ky_campbell,203.3625,13101.0,15273,7974.858,ky,133
2011_ky_campbell,256.325,13303.0,15379,7633.7866,ky,147
2012_ky_campbell,257.875,13631.0,16478,7003.277,ky,201
2013_ky_campbell,250.0125,13859.0,8683,14142.577,ky,129
2014_ky_campbell,248.2625,14185.0,3819,32076.46,ky,112
2010_ky_christian,221.7,9330.0,31577,1776.6096,ky,122
2011_ky_christian,241.94,9506.0,7541,7001.724,ky,108
2012_ky_christian,253.09,9702.0,31499,1641.3219,ky,122
2013_ky_christian,254.33,9912.0,33367,1696.2867,ky,101
2014_ky_christian,270.39,9976.0,32697,1813.622,ky,90
2010_ky_daviess,131.42222222222222,17897.0,39391,1040.8468,ky,133
2011_ky_daviess,120.65555555555557,18391.0,57661,797.76624,ky,147
2012_ky_daviess,127.17777777777776,19016.0,39729,1188.049,ky,190
2013_ky_daviess,113.66666666666667,19435.0,58304,819.8408,ky,93
2014_ky_daviess,99.91111111111111,19785.0,58659,809.76495,ky,100
2010_ky_fayette,179.95833333333334,34603.0,295803,1.0141884,ky,115
2011_ky_fayette,193.25833333333333,35789.0,297847,61.44094,ky,133
2012_ky_fayette,218.15833333333333,37047.0,302332,129.65878,ky,151
2013_ky_fayette,196.375,38271.0,308712,127.95097,ky,81
2014_ky_fayette,226.66666666666666,39375.0,311848,122.495575,ky,93
2010_ky_franklin,157.34444444444443,10143.0,23758,366.19244,ky,80
2011_ky_franklin,170.0,10596.0,23923,1061.7397,ky,98
2010_ky_greenup,252.75714285714284,8410.0,1609,21441.889,ky,122
2011_ky_greenup,230.21428571428572,8602.0,7474,4013.915,ky,151
2012_ky_greenup,229.71428571428572,8790.0,1612,14826.302,ky,154
2013_ky_greenup,222.31428571428572,8965.0,7412,3264.9756,ky,101
2014_ky_greenup,254.34285714285716,9070.0,18616,1138.8053,ky,90
2010_ky_hardin,129.97272727272727,14324.0,28531,2046.8964,ky,115
2011_ky_hardin,139.28181818181818,14739.0,4551,13381.675,ky,112
2012_ky_hardin,145.73636363636362,15317.0,29118,2149.8728,ky,161
2013_ky_hardin,139.47272727272727,15844.0,23177,2735.4705,ky,90
2014_ky_hardin,149.35454545454547,16404.0,23242,2861.1995,ky,87
2010_ky_henderson,186.63333333333333,8330.0,28757,848.4891,ky,122
2011_ky_henderson,188.2111111111111,8511.0,28956,1260.5332,ky,140
2012_ky_henderson,195.5111111111111,8720.0,17597,2040.1204,ky,164
2013_ky_henderson,185.5111111111111,8918.0,17676,2183.752,ky,97
2014_ky_henderson,199.93333333333334,9063.0,28843,1435.3569,ky,100
2010_ky_jefferson,185.85384615384615,116225.0,660582,153.04686,ky,177
2011_ky_jefferson,179.50769230769234,118861.0,26779,3947.1228,ky,177
2012_ky_jefferson,180.64615384615385,122273.0,17651,6254.603,ky,202
2013_ky_jefferson,177.04615384615383,125336.0,17768,5903.872,ky,97
2014_ky_jefferson,159.1769230769231,127890.0,15669,6873.4443,ky,169
2010_ky_jessamine,134.1125,6298.0,28015,1274.3173,ky,108
2011_ky_jessamine,131.4375,6573.0,28209,1247.8287,ky,140
2012_ky_jessamine,158.625,6877.0,28366,1191.5674,ky,136
2013_ky_jessamine,133.35,7253.0,28497,1242.2361,ky,77
2014_ky_jessamine,155.5625,7561.0,28889,1142.3032,ky,90
2010_ky_kenton,237.0222222222222,20779.0,40640,3663.8777,ky,115
2010_ky_madison,76.92222222222222,11703.0,37991,1389.8029,ky,83
2011_ky_madison,78.78888888888888,12187.0,31581,1719.3882,ky,74
2012_ky_madison,98.53333333333333,12624.0,13798,4399.1885,ky,67
2013_ky_madison,95.46666666666667,13157.0,14331,3900.6348,ky,68
2014_ky_madison,106.97777777777779,13657.0,32828,1858.1698,ky,73
2010_ky_marshall,209.25,7409.0,4349,8576.685,ky,31
2011_ky_marshall,194.05,7484.0,2584,13196.595,ky,31
2013_ky_marshall,202.72857142857143,7761.0,24378,1222.4137,ky,22
2014_ky_marshall,206.62857142857143,7864.0,24180,1331.6791,ky,37
2010_ky_mccracken,266.48,13606.0,25024,1794.2775,ky,122
2011_ky_mccracken,277.59000000000003,13818.0,25197,1853.3953,ky,159
2012_ky_mccracken,264.96999999999997,14128.0,40832,1141.2617,ky,202
2013_ky_mccracken,259.12,14377.0,40541,1159.3202,ky,100
2014_ky_mccracken,249.01999999999998,14574.0,25017,1834.7524,ky,93
2010_ky_ohio,153.125,4775.0,17761,1013.4565,ky,83
2010_ky_oldham,111.42222222222222,6154.0,50716,412.09872,ky,161
2011_ky_oldham,114.77777777777777,6515.0,8138,2187.2695,ky,179
2012_ky_oldham,128.54444444444445,6953.0,51117,359.95853,ky,204
2013_ky_oldham,120.0,7319.0,1486,12449.529,ky,108
2014_ky_oldham,115.28888888888888,7709.0,52948,313.51514,ky,101
2011_ky_perry,163.0875,6211.0,4487,5839.091,ky,87
2014_ky_perry,168.6,6402.0,22462,872.5848,ky,84
2010_ky_pike,321.8,15115.0,6903,3389.8306,ky,105
2011_ky_pike,319.075,15389.0,6951,3280.1035,ky,97
2012_ky_pike,293.625,15620.0,1707,12829.525,ky,147
2013_ky_pike,246.8125,15717.0,1678,13408.82,ky,130
2014_ky_pike,247.375,15769.0,53559,476.11044,ky,104
2010_ky_pulaski,179.825,14212.0,11196,3322.615,ky,100
2011_ky_pulaski,194.6375,14436.0,11273,3486.206,ky,144
2012_ky_pulaski,212.9625,14799.0,11325,3408.3884,ky,133
2013_ky_pulaski,219.15,15130.0,11352,3162.4385,ky,80
2014_ky_pulaski,256.84285714285716,15357.0,11503,3399.1133,ky,100
2010_ky_simpson,175.55555555555554,3133.0,8919,2107.8596,ky,112
2014_ky_simpson,227.2888888888889,3517.0,8745,2424.2424,ky,87
2010_ky_trigg,210.7625,3277.0,11781,1332.6543,ky,147
2011_ky_trigg,221.175,3331.0,2576,7531.0557,ky,112
2012_ky_trigg,244.725,3414.0,11784,1900.8824,ky,159
2013_ky_trigg,265.6,3505.0,2624,7583.842,ky,115
2014_ky_trigg,284.625,3525.0,2665,7129.456,ky,101
2010_ky_warren,244.83636363636367,15239.0,55011,845.2855,ky,105
2011_ky_warren,290.40909090909093,15865.0,58468,761.1001,ky,100
2012_ky_warren,318.6818181818182,16336.0,59043,765.54376,ky,150
2013_ky_warren,332.91818181818184,16789.0,61130,711.59827,ky,81
2014_ky_warren,344.3181818181818,17286.0,62117,719.60974,ky,100
2012_ky_washington,190.1875,2366.0,2554,2819.1072,ky,150
2013_ky_washington,169.7125,2394.0,9289,753.5795,ky,93
2014_ky_washington,177.95,2442.0,2630,2433.46,ky,101
2010_me_androscoggin,158.82857142857142,19609.0,23055,3960.0955,me,158
2011_me_androscoggin,141.71428571428572,20032.0,36587,2448.9573,me,93
2012_me_androscoggin,142.27142857142857,20635.0,8993,10652.7295,me,97
2013_me_androscoggin,144.28571428571428,21176.0,27942,3317.5864,me,95
2014_me_androscoggin,133.42857142857142,21705.0,36402,2549.3103,me,90
2010_me_aroostook,140.0125,17325.0,2171,36619.07,me,101
2011_me_aroostook,146.15,17543.0,6122,13149.297,me,66
2012_me_aroostook,173.1875,17797.0,28626,2843.5688,me,73
2013_me_aroostook,152.84285714285716,18071.0,4055,20024.66,me,94
2014_me_aroostook,146.875,18288.0,9337,8578.772,me,117
2010_me_cumberland,72.22727272727273,45869.0,16381,12496.185,me,177
2011_me_cumberland,66.01818181818182,47391.0,51548,3967.1763,me,161
2012_me_cumberland,71.35454545454546,49061.0,5228,40187.453,me,126
2013_me_cumberland,72.11818181818182,50670.0,51883,3795.0774,me,136
2014_me_cumberland,77.21000000000001,52450.0,17556,11084.529,me,109
2010_me_hancock,159.36666666666667,11077.0,4924,10337.124,me,159
2011_me_hancock,161.86666666666665,11419.0,5234,10259.839,me,166
2012_me_hancock,172.73333333333335,11890.0,5253,10355.987,me,101
2013_me_hancock,173.28333333333333,12396.0,7853,6812.6826,me,129
2014_me_hancock,179.4333333333333,12753.0,1780,26235.955,me,105
2010_me_kennebec,150.47500000000002,25013.0,5800,19103.447,me,129
2011_me_kennebec,143.125,25515.0,2381,46073.08,me,97
2012_me_kennebec,148.3625,26399.0,7787,13740.85,me,90
2013_me_kennebec,159.0125,27117.0,5731,19071.715,me,108
2014_me_kennebec,157.3375,27601.0,16022,6272.625,me,87
2010_me_knox,180.2,8757.0,21478,2309.3398,me,166
2011_me_knox,164.26,9018.0,7296,7031.25,me,115
2012_me_knox,164.7,9331.0,4850,10103.093,me,97
2013_me_knox,186.5,9554.0,7205,6689.799,me,140
2014_me_knox,200.48,9836.0,21465,2184.9521,me,87
2010_me_oxford,180.1,12031.0,5841,12069.852,me,54
2011_me_oxford,163.48571428571427,12284.0,5182,12273.254,me,71
2012_me_oxford,173.97142857142856,12678.0,5006,13204.154,me,87
2013_me_oxford,161.14285714285714,13058.0,3407,17493.395,me,87
