id,Hazardous Days,Max AQI,90th Percentile AQI,Worse_than_average,Abbreviation,medcare_full_cov_amt,BENES_FFS_CNT,MA_enroll_amt,MA_full_cov_enroll_rate,BENE_AVG_AGE,BENE_FEML_PCT,BENE_MALE_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_OTHR_PCT,BENE_DUAL_PCT,BENE_AVG_RISK_SCRE,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,TOT_MDCR_STDZD_RA_PYMT_AMT,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC,TOT_MDCR_STDZD_RA_PYMT_PC,state,Population,#Crimes,Off0,Off1,Off2,Off3,CrimeRatePer100K,heart
2012_al_tuscaloosa,0,93,50,1,al,29317.0,26402.0,2915.0,0.0994,69.0,0.5671,0.4329,0.725,0.264,0.0029,0.0081,0.209,0.97,2.4294015304E8,2.5335045242E8,2.7841558666E8,9201.58,9595.88,10545.25,al,91973,6,0,0,0,6,6.5236535,140.33636363636361
2014_az_pinal,12,881,142,1,az,58769.0,33585.0,25184.0,0.4285,71.0,0.508,0.492,0.8217,0.0272,0.0928,0.0583,0.1328,0.95,3.0845104867E8,2.9384450077E8,3.328510206E8,9184.19,8749.28,9910.7,az,892,337,19,103,110,105,37780.27,194.7642857142857
2010_co_el paso,0,151,74,1,co,68526.0,50798.0,17728.0,0.2587,71.0,0.5524,0.4476,0.8515,0.0583,0.0602,0.03,0.1083,0.88,4.0012785905E8,3.9596588692E8,4.7635052391E8,7876.84,7794.91,9377.35,co,165656,869,80,315,270,204,524.58105,173.2
2011_ga_coweta,0,115,71,1,ga,15551.0,11709.0,3842.0,0.2471,70.0,0.5547,0.4453,0.8187,0.1561,0.0141,0.0111,0.1649,0.94,9.460696015E7,9.514659109E7,1.0343780471E8,8079.85,8125.94,8834.04,ga,33474,577,39,182,195,161,1723.726,235.72727272727272
2010_in_henry,0,107,70,1,in,9623.0,8450.0,1173.0,0.1219,72.0,0.5691,0.4309,0.9811,0.009,0.0026,0.0073,0.1878,0.97,7.107800438E7,7.254542313E7,8.003779673E7,8411.6,8585.26,9471.93,in,31348,106,9,35,14,48,338.1396,141.2
2011_ks_johnson,0,161,67,1,ks,64595.0,46845.0,17750.0,0.2748,74.0,0.5808,0.4192,0.9339,0.0246,0.0169,0.0246,0.1053,0.93,4.1824732646E8,4.2747878975E8,4.7882641333E8,8928.32,9125.39,10221.51,ks,3520,1392,63,422,483,424,39545.457,87.99285714285715
2013_nj_atlantic,0,154,58,1,nj,45619.0,39210.0,6409.0,0.1405,72.0,0.5612,0.4388,0.7786,0.1264,0.0587,0.0363,0.1571,1.07,4.52174728E8,4.0247577561E8,4.0182140877E8,11532.13,10264.62,10247.93,nj,43709,2534,180,852,938,564,5797.433,234.4642857142857
2014_nc_alexander,0,97,51,1,nc,7254.0,5145.0,2109.0,0.2907,70.0,0.5582,0.4418,0.931,0.0529,0.0064,0.0097,0.2377,0.99,4.402665607E7,4.560463866E7,5.076426027E7,8557.17,8863.88,9866.72,nc,2058,267,18,109,68,72,12973.762,120.55555555555556
2011_nc_mcdowell,0,83,62,1,nc,9577.0,7576.0,2001.0,0.2089,69.0,0.5535,0.4465,0.9556,0.0268,0.005,0.0125,0.2763,0.87,5.647504094E7,5.701936497E7,6.384618829E7,7454.47,7526.32,8427.43,nc,920,385,31,175,92,87,41847.824,150.2111111111111
2014_nc_wayne,0,77,63,1,nc,21734.0,17533.0,4201.0,0.1933,69.0,0.5574,0.4426,0.6581,0.3152,0.0112,0.0155,0.3017,1.01,1.6175894991E8,1.5896722842E8,1.6435874134E8,9225.97,9066.74,9374.25,nc,81216,582,66,255,137,124,716.60754,259.60833333333335
2010_or_umatilla,0,93,61,1,or,10846.0,8439.0,2407.0,0.2219,72.0,0.5345,0.4655,0.9165,0.0025,0.0483,0.0327,0.1604,0.9,6.253354892E7,5.936491105E7,7.067852414E7,7410.07,7034.59,8375.23,or,16612,721,55,235,188,243,4340.236,235.36000000000004
2011_or_union,0,152,58,1,or,5001.0,4716.0,285.0,0.057,72.0,0.5327,0.4673,0.9733,0.0025,0.0064,0.0178,0.1633,0.84,3.714281624E7,3.119743675E7,4.519336087E7,7875.92,6615.23,9582.99,or,11072,324,10,107,110,97,2926.3005,207.65714285714287
